InvoiceDate,sum(Tokens)
2010-12-10,12630
2010-12-01,14404
2011-01-06,8404
2010-12-02,9613
2010-12-12,6692
2010-12-13,10643
2010-12-15,6220
2010-12-16,8376
2010-12-21,7235
2011-01-05,8043
2010-12-14,9666
2010-12-06,17795
2010-12-09,13030
2010-12-08,12184
2010-12-22,1384
2010-12-20,8034
2011-01-07,8292
2010-12-07,13510
2010-12-19,2457
2011-01-04,5447
2010-12-17,14286
2010-12-03,9880
2010-12-05,12430
2010-12-23,4483
2011-01-23,4098
2011-01-27,7243
2011-01-25,7724
2011-02-10,3674
2011-01-30,3404
2011-02-04,5590
2011-02-15,6179
2011-02-06,1277
2011-02-18,3961
2011-02-09,4045
2011-01-19,6574
2011-02-13,2896
2011-01-12,8434
2011-01-16,3062
2011-01-10,9094
2011-01-20,6878
2011-02-07,5817
2011-01-21,7371
2011-02-16,5432
2011-01-18,6722
2011-02-03,4536
2011-02-01,7260
2011-02-17,7883
2011-02-20,3883
2011-01-17,11925
2011-02-11,4285
2011-01-13,6673
2011-01-14,6994
2011-01-09,5223
2011-01-28,4341
2011-01-11,6707
2011-01-26,5961
2011-01-24,6822
2011-01-31,6999
2011-02-02,6510
2011-02-14,5195
2011-02-08,5687
2011-02-22,7397
2011-03-08,7329
2011-03-21,5028
2011-03-15,5834
2011-03-20,6714
2011-03-17,9574
2011-03-03,6293
2011-03-30,7195
2011-02-24,6010
2011-02-23,7174
2011-03-28,7578
2011-03-27,3491
2011-03-31,7931
2011-02-27,3837
2011-03-22,10756
2011-02-21,6600
2011-03-10,5132
2011-03-11,4315
2011-04-01,5713
2011-03-06,3961
2011-03-24,7264
2011-03-25,6401
2011-03-23,5977
2011-03-02,4388
2011-03-14,5166
2011-03-01,6196
2011-02-28,7893
2011-03-04,5072
2011-03-18,6356
2011-03-13,2482
2011-02-25,4549
2011-03-09,5755
2011-03-16,4026
2011-03-29,9062
2011-03-07,8980
2011-05-06,9301
2011-04-11,5719
2011-04-12,5227
2011-04-18,14785
2011-05-08,6902
2011-05-13,6444
2011-04-06,4927
2011-04-19,8641
2011-05-12,8934
2011-04-21,8677
2011-05-03,6374
2011-04-13,4803
2011-04-03,3436
2011-05-01,2060
2011-04-17,4482
2011-05-15,3705
2011-05-16,7253
2011-04-05,5399
2011-05-05,8349
2011-04-15,6696
